"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/01/10","00:00","-1.291","-","-1.32"
"2024/01/10","01:00","-1.152","-","-1.2"
"2024/01/10","02:00","-0.863","-","-0.915"
"2024/01/10","03:00","-0.494","-","-0.558"
"2024/01/10","04:00","-0.125","-","-0.176"
"2024/01/10","05:00","0.17","-","0.115"
"2024/01/10","06:00","0.343","-","0.278"
"2024/01/10","07:00","0.387","-","0.314"
"2024/01/10","08:00","0.329","-","0.27"
"2024/01/10","09:00","0.22","-","0.164"
"2024/01/10","10:00","0.123","-","0.093"
"2024/01/10","11:00","0.1","-","0.05"
"2024/01/10","12:00","0.184","-","0.188"
"2024/01/10","13:00","0.374","-","0.373"
"2024/01/10","14:00","0.634","-","0.625"
"2024/01/10","15:00","0.903","-","0.918"
"2024/01/10","16:00","1.104","-","1.127"
"2024/01/10","17:00","1.167","-","1.191"
"2024/01/10","18:00","1.045","-","1.094"
"2024/01/10","19:00","0.737","-","0.741"
"2024/01/10","20:00","0.281","-","0.301"
"2024/01/10","21:00","-0.25","-","-0.234"
"2024/01/10","22:00","-0.763","-","-0.751"
"2024/01/10","23:00","-1.162","-","-1.16"